tgDataLogger2 started logging at time 11022018_102834, with 51 sensors on 1 senseable objects.
time,0_rod(motor rod compound_H13mvh).X,0_rod(motor rod compound_H13mvh).Y,0_rod(motor rod compound_H13mvh).Z,0_rod(motor rod compound_H13mvh).Euler1,0_rod(motor rod compound_H13mvh).Euler2,0_rod(motor rod compound_H13mvh).Euler3,0_rod(motor rod compound_H13mvh).mass,1_rod(motor rod compound_H13mvh).X,1_rod(motor rod compound_H13mvh).Y,1_rod(motor rod compound_H13mvh).Z,1_rod(motor rod compound_H13mvh).Euler1,1_rod(motor rod compound_H13mvh).Euler2,1_rod(motor rod compound_H13mvh).Euler3,1_rod(motor rod compound_H13mvh).mass,2_rod(rod).X,2_rod(rod).Y,2_rod(rod).Z,2_rod(rod).Euler1,2_rod(rod).Euler2,2_rod(rod).Euler3,2_rod(rod).mass,3_rod(rod).X,3_rod(rod).Y,3_rod(rod).Z,3_rod(rod).Euler1,3_rod(rod).Euler2,3_rod(rod).Euler3,3_rod(rod).mass,4_rod(rod).X,4_rod(rod).Y,4_rod(rod).Z,4_rod(rod).Euler1,4_rod(rod).Euler2,4_rod(rod).Euler3,4_rod(rod).mass,5_rod(rod).X,5_rod(rod).Y,5_rod(rod).Z,5_rod(rod).Euler1,5_rod(rod).Euler2,5_rod(rod).Euler3,5_rod(rod).mass,6_rod(rod).X,6_rod(rod).Y,6_rod(rod).Z,6_rod(rod).Euler1,6_rod(rod).Euler2,6_rod(rod).Euler3,6_rod(rod).mass,7_rod(motor rod compound_H13mvh).X,7_rod(motor rod compound_H13mvh).Y,7_rod(motor rod compound_H13mvh).Z,7_rod(motor rod compound_H13mvh).Euler1,7_rod(motor rod compound_H13mvh).Euler2,7_rod(motor rod compound_H13mvh).Euler3,7_rod(motor rod compound_H13mvh).mass,8_SCA(connector).RestLen,8_SCA(connector).CurrLen,8_SCA(connector).Tension,9_SCA(connector).RestLen,9_SCA(connector).CurrLen,9_SCA(connector).Tension,10_SCA(connector).RestLen,10_SCA(connector).CurrLen,10_SCA(connector).Tension,11_SCA(connector).RestLen,11_SCA(connector).CurrLen,11_SCA(connector).Tension,12_SCA(connector).RestLen,12_SCA(connector).CurrLen,12_SCA(connector).Tension,13_SCA(connector).RestLen,13_SCA(connector).CurrLen,13_SCA(connector).Tension,14_SCA(passive muscle).RestLen,14_SCA(passive muscle).CurrLen,14_SCA(passive muscle).Tension,15_SCA(passive muscle).RestLen,15_SCA(passive muscle).CurrLen,15_SCA(passive muscle).Tension,16_SCA(passive muscle).RestLen,16_SCA(passive muscle).CurrLen,16_SCA(passive muscle).Tension,17_SCA(passive muscle).RestLen,17_SCA(passive muscle).CurrLen,17_SCA(passive muscle).Tension,18_SCA(passive muscle).RestLen,18_SCA(passive muscle).CurrLen,18_SCA(passive muscle).Tension,19_SCA(passive muscle).RestLen,19_SCA(passive muscle).CurrLen,19_SCA(passive muscle).Tension,20_SCA(passive muscle).RestLen,20_SCA(passive muscle).CurrLen,20_SCA(passive muscle).Tension,21_SCA(passive muscle).RestLen,21_SCA(passive muscle).CurrLen,21_SCA(passive muscle).Tension,22_SCA(passive muscle).RestLen,22_SCA(passive muscle).CurrLen,22_SCA(passive muscle).Tension,23_SCA(passive muscle).RestLen,23_SCA(passive muscle).CurrLen,23_SCA(passive muscle).Tension,24_SCA(passive muscle).RestLen,24_SCA(passive muscle).CurrLen,24_SCA(passive muscle).Tension,25_SCA(passive muscle).RestLen,25_SCA(passive muscle).CurrLen,25_SCA(passive muscle).Tension,26_SCA(passive muscle).RestLen,26_SCA(passive muscle).CurrLen,26_SCA(passive muscle).Tension,27_SCA(passive muscle).RestLen,27_SCA(passive muscle).CurrLen,27_SCA(passive muscle).Tension,28_SCA(passive muscle).RestLen,28_SCA(passive muscle).CurrLen,28_SCA(passive muscle).Tension,29_SCA(passive muscle).RestLen,29_SCA(passive muscle).CurrLen,29_SCA(passive muscle).Tension,30_SCA(passive muscle).RestLen,30_SCA(passive muscle).CurrLen,30_SCA(passive muscle).Tension,31_SCA(passive muscle).RestLen,31_SCA(passive muscle).CurrLen,31_SCA(passive muscle).Tension,32_SCA(passive muscle).RestLen,32_SCA(passive muscle).CurrLen,32_SCA(passive muscle).Tension,33_SCA(passive muscle).RestLen,33_SCA(passive muscle).CurrLen,33_SCA(passive muscle).Tension,34_SCA(passive muscle).RestLen,34_SCA(passive muscle).CurrLen,34_SCA(passive muscle).Tension,35_SCA(passive muscle).RestLen,35_SCA(passive muscle).CurrLen,35_SCA(passive muscle).Tension,36_SCA(passive muscle).RestLen,36_SCA(passive muscle).CurrLen,36_SCA(passive muscle).Tension,37_SCA(passive muscle).RestLen,37_SCA(passive muscle).CurrLen,37_SCA(passive muscle).Tension,38_SCA(passive muscle).RestLen,38_SCA(passive muscle).CurrLen,38_SCA(passive muscle).Tension,39_SCA(active muscle).RestLen,39_SCA(active muscle).CurrLen,39_SCA(active muscle).Tension,40_SCA(active muscle).RestLen,40_SCA(active muscle).CurrLen,40_SCA(active muscle).Tension,41_SCA(active muscle).RestLen,41_SCA(active muscle).CurrLen,41_SCA(active muscle).Tension,42_SCA(active muscle).RestLen,42_SCA(active muscle).CurrLen,42_SCA(active muscle).Tension,43_SCA(active muscle).RestLen,43_SCA(active muscle).CurrLen,43_SCA(active muscle).Tension,44_SCA(active muscle).RestLen,44_SCA(active muscle).CurrLen,44_SCA(active muscle).Tension,45_SCA(custom muscle).RestLen,45_SCA(custom muscle).CurrLen,45_SCA(custom muscle).Tension,46_SCA(custom muscle).RestLen,46_SCA(custom muscle).CurrLen,46_SCA(custom muscle).Tension,47_SCA(custom muscle).RestLen,47_SCA(custom muscle).CurrLen,47_SCA(custom muscle).Tension,48_SCA(connector).RestLen,48_SCA(connector).CurrLen,48_SCA(connector).Tension,49_SCA(connector).RestLen,49_SCA(connector).CurrLen,49_SCA(connector).Tension,50_SCA(connector).RestLen,50_SCA(connector).CurrLen,50_SCA(connector).Tension,
0.0101,8.09552,35.908,-5.14946,0.00169707,-0.000897397,0.000512235,20.8181,8.09552,35.908,-5.14946,0.00169707,-0.000897397,0.000512235,20.8181,3.14876,32.2025,-6.49815,-1.49084,-0.843788,-1.04394,1.00275,3.87644,36.1527,-3.77985,-0.22004,0.390276,2.10914,1.00275,7.78749,32.1957,-7.7241,-0.132984,0.368194,2.16308,1.00275,6.51783,32.1885,-3.07108,2.09244,0.574931,-0.237405,1.00275,5.07116,36.135,-8.43554,2.101,0.425181,-0.243235,1.00275,8.09552,35.908,-5.14946,0.00169707,-0.000897397,0.000512235,20.8181,0.0898494,0.0918054,117.357,0.0898494,0.0739444,0,0.0898494,0.0909513,66.1158,0.0898494,0.0907801,55.8419,0.0898494,0.0955582,342.526,0.0898494,0.0970981,434.923,4.56728,5.26864,4039.84,4.56728,5.32661,4373.74,4.56728,5.07742,2938.39,4.56728,5.05236,2794.08,4.56728,5.28372,4126.72,4.56728,5.35281,4524.67,4.56728,5.06082,2842.82,4.56728,5.05236,2794.08,4.56728,5.01096,2555.6,4.56728,5.10568,3101.2,4.56728,5.2639,4012.52,4.56728,5.11499,3154.84,4.56728,5.16356,3434.56,4.56728,5.26373,4011.55,4.56728,5.14633,3335.34,4.56728,5.17536,3502.54,4.56728,5.01096,2555.6,4.56728,5.04652,2760.41,4.56728,5.14279,3314.92,4.56728,5.09934,3064.68,4.56728,5.2098,3700.95,4.56728,5.07894,2947.18,4.56728,5.09463,3037.52,4.56728,5.22443,3785.2,4.56728,5.16638,3450.81,3.44999,4.19999,4320,5.40524,5.99209,3380.24,4.50482,4.93764,2493.05,4.50482,5.15503,3745.2,5.51981,6.14285,3588.67,3.28218,3.71849,2513.14,34.3187,34.2812,0,34.3187,34.0591,0,34.3187,34.0643,0,0.380337,0.461042,4842.34,0.380337,0.468653,5298.95,0.380337,0.4664,5163.77,
0.0202,8.02778,35.7958,-5.16628,0.0080918,-0.000378388,-0.000877435,20.8181,8.02778,35.7958,-5.16628,0.0080918,-0.000378388,-0.000877435,20.8181,3.65208,32.2298,-6.33942,-1.58479,-0.810307,-1.0665,1.00275,4.41038,35.7949,-4.06421,-0.0620741,0.33455,2.16038,1.00275,7.64235,32.2813,-7.45581,-0.106417,0.412894,2.20282,1.00275,6.56258,32.2518,-3.46012,2.16846,0.605793,-0.147975,1.00275,5.28538,35.7565,-7.91352,2.10547,0.530464,-0.219569,1.00275,8.02778,35.7958,-5.16628,0.0080918,-0.000378388,-0.000877435,20.8181,0.0898494,0.0674508,0,0.0898494,0.0513183,0,0.0898494,0.0937658,234.985,0.0898494,0.0918756,121.572,0.0898494,0.102022,730.379,0.0898494,0.106833,1019.01,4.56728,5.20177,3654.67,4.56728,5.27868,4097.68,4.56728,4.92975,2087.81,4.56728,4.81577,1431.32,4.56728,5.26245,4004.16,4.56728,5.35245,4522.58,4.56728,4.44484,0,4.56728,4.75023,1053.77,4.56728,4.83852,1562.34,4.56728,4.74082,999.574,4.56728,5.21449,3727.95,4.56728,4.84928,1624.34,4.56728,5.1329,3258,4.56728,5.34904,4502.92,4.56728,5.08168,2962.96,4.56728,4.9137,1995.37,4.56728,4.83852,1562.34,4.56728,4.82914,1508.33,4.56728,4.97008,2320.15,4.56728,4.78893,1276.69,4.56728,5.05535,2811.31,4.56728,4.88855,1850.51,4.56728,4.85595,1662.77,4.56728,5.15582,3389.97,4.56728,5.076,2930.25,3.44999,4.19999,4320,5.40524,5.93139,3030.59,4.50482,4.55041,262.599,4.50482,5.13032,3602.86,5.51981,6.01474,2850.79,3.28218,3.4948,1224.68,34.3187,34.1603,0,34.3187,33.7135,0,34.3187,33.7607,0,0.380337,0.47079,5427.22,0.380337,0.470802,5427.9,0.380337,0.469107,5326.23,
0.0303,7.93234,35.6085,-5.194,0.0164131,0.00729086,-0.000154287,20.8181,7.93234,35.6085,-5.194,0.0164131,0.00729086,-0.000154287,20.8181,4.06859,32.2796,-6.10145,-1.51818,-0.811124,-1.22754,1.00275,5.03454,35.4289,-4.23629,-0.195992,0.480027,2.08947,1.00275,7.52821,32.3154,-7.3083,-0.116809,0.474377,2.21129,1.00275,6.64349,32.3066,-3.83393,2.2697,0.465717,-0.0023403,1.00275,5.49042,35.3974,-7.39096,2.15652,0.359638,-0.149117,1.00275,7.93234,35.6085,-5.194,0.0164131,0.00729086,-0.000154287,20.8181,0.0898494,0.0960945,374.706,0.0898494,0.0492243,0,0.0898494,0.0945129,279.812,0.0898494,0.090235,23.1368,0.0898494,0.0994607,576.68,0.0898494,0.100579,643.8,4.56728,5.095,3039.69,4.56728,5.2941,4186.5,4.56728,4.95296,2221.55,4.56728,4.73484,965.174,4.56728,5.28552,4137.07,4.56728,5.25199,3943.91,4.56728,3.74232,0,4.56728,4.44145,0,4.56728,4.78773,1269.82,4.56728,4.57466,42.5018,4.56728,5.21848,3750.94,4.56728,4.76818,1157.19,4.56728,5.14618,3334.46,4.56728,5.39193,4749.96,4.56728,5.09912,3063.38,4.56728,4.65758,520.155,4.56728,4.78773,1269.82,4.56728,4.75862,1102.11,4.56728,4.85301,1645.79,4.56728,4.62535,334.509,4.56728,4.9995,2489.61,4.56728,4.87829,1791.44,4.56728,4.85288,1645.04,4.56728,5.15974,3412.59,4.56728,5.01637,2586.75,3.44999,4.19999,4320,5.40524,5.76321,2061.89,4.50482,4.16485,0,4.50482,5.03122,3032.06,5.51981,5.81049,1674.3,3.28218,3.42144,802.132,34.3187,33.9561,0,34.3187,33.3258,0,34.3187,33.405,0,0.380337,0.470555,5413.11,0.380337,0.463094,4965.42,0.380337,0.469612,5356.54,
0.0404,7.82567,35.3628,-5.23264,0.0224581,0.0283886,0.0101616,20.8181,7.82567,35.3628,-5.23264,0.0224581,0.0283886,0.0101616,20.8181,4.38987,32.2983,-5.90676,-1.45966,-0.797402,-1.36294,1.00275,5.56032,35.0992,-4.30652,-0.158273,0.526837,2.09398,1.00275,7.4106,32.3197,-7.19656,-0.14355,0.538,2.2042,1.00275,6.63238,32.3217,-4.14187,2.30846,0.256819,0.101097,1.00275,5.62541,35.1045,-6.93841,2.16751,0.162171,-0.0999587,1.00275,7.82567,35.3628,-5.23264,0.0224581,0.0283886,0.0101616,20.8181,0.0898494,0.0909916,68.531,0.0898494,0.0915664,103.017,0.0898494,0.0923837,152.059,0.0898494,0.0903423,29.5736,0.0898494,0.0911682,79.1294,0.0898494,0.0911898,80.4245,4.56728,4.97252,2334.19,4.56728,5.3782,4670.93,4.56728,4.99448,2460.66,4.56728,4.72113,886.191,4.56728,5.27821,4094.94,4.56728,5.15328,3375.39,4.56728,3.31658,0,4.56728,4.22639,0,4.56728,4.78477,1252.74,4.56728,4.57987,72.5276,4.56728,5.23688,3856.93,4.56728,4.7461,1030,4.56728,5.1613,3421.57,4.56728,5.39571,4771.77,4.56728,5.12666,3222.05,4.56728,4.58522,103.355,4.56728,4.78477,1252.74,4.56728,4.7401,995.458,4.56728,4.82636,1492.3,4.56728,4.6179,291.602,4.56728,5.10933,3122.21,4.56728,4.95947,2259.04,4.56728,4.93411,2112.95,4.56728,5.21775,3746.72,4.56728,5.00974,2548.58,3.44999,4.19999,4320,5.40524,5.53255,733.275,4.50482,3.85867,0,4.50482,4.89259,2233.54,5.51981,5.58384,368.815,3.28218,3.45659,1004.6,34.3187,33.6736,0,34.3187,32.9983,0,34.3187,33.0537,0,0.380337,0.465492,5109.33,0.380337,0.451716,4282.78,0.380337,0.469877,5372.4,
0.0505,7.71752,35.0695,-5.28049,0.0237885,0.0649158,0.0329813,20.8181,7.71752,35.0695,-5.28049,0.0237885,0.0649158,0.0329813,20.8181,4.58409,32.2652,-5.81751,-1.36588,-0.777789,-1.476,1.00275,5.81614,34.8383,-4.31851,-0.248535,0.611693,2.05691,1.00275,7.28517,32.3106,-7.08412,-0.177269,0.601477,2.19189,1.00275,6.62956,32.2873,-4.29449,2.3121,0.275063,0.127855,1.00275,5.64829,34.8633,-6.66324,2.12534,0.218788,-0.0855858,1.00275,7.71752,35.0695,-5.28049,0.0237885,0.0649158,0.0329813,20.8181,0.0898494,0.0747419,0,0.0898494,0.0904497,36.0191,0.0898494,0.0904944,38.7018,0.0898494,0.0905779,43.708,0.0898494,0.0937903,236.456,0.0898494,0.0908646,60.9085,4.56728,4.89874,1909.23,4.56728,5.39971,4794.8,4.56728,4.98006,2377.61,4.56728,4.7022,777.144,4.56728,5.22732,3801.81,4.56728,5.09212,3023.1,4.56728,3.3007,0,4.56728,4.1191,0,4.56728,4.77873,1217.97,4.56728,4.57695,55.6947,4.56728,5.21911,3754.52,4.56728,4.76042,1112.46,4.56728,5.19258,3601.72,4.56728,5.36383,4588.11,4.56728,5.10552,3100.26,4.56728,4.68284,665.654,4.56728,4.77873,1217.97,4.56728,4.74468,1021.83,4.56728,4.84069,1574.83,4.56728,4.67447,617.407,4.56728,5.16237,3427.74,4.56728,5.00922,2545.57,4.56728,4.96201,2273.66,4.56728,5.23181,3827.7,4.56728,4.9971,2475.79,3.44999,4.19999,4320,5.40524,5.27968,0,4.50482,3.73749,0,4.50482,4.73965,1352.59,5.51981,5.3007,0,3.28218,3.51571,1345.1,34.3187,33.3198,0,34.3187,32.8078,0,34.3187,32.6903,0,0.380337,0.460147,4788.64,0.380337,0.437818,3448.85,0.380337,0.464956,5077.16,
0.0606,7.60996,34.7413,-5.3364,0.019416,0.11329,0.0642755,20.8181,7.60996,34.7413,-5.3364,0.019416,0.11329,0.0642755,20.8181,4.57425,32.2038,-5.77647,-1.33251,-0.757115,-1.49273,1.00275,5.81561,34.6198,-4.2511,-0.292404,0.644286,2.0499,1.00275,7.17299,32.2656,-7.02046,-0.188541,0.6355,2.18632,1.00275,6.70681,32.1819,-4.23524,2.28249,0.33874,0.0960477,1.00275,5.57134,34.6663,-6.57372,2.11424,0.00638532,-0.0858281,1.00275,7.60996,34.7413,-5.3364,0.019416,0.11329,0.0642755,20.8181,0.0898494,0.0647615,0,0.0898494,0.0901147,15.9197,0.0898494,0.0908369,59.2475,0.0898494,0.0908939,62.6722,0.0898494,0.105837,959.234,0.0898494,0.0996861,590.201,4.56728,4.88002,1801.4,4.56728,5.26432,4014.93,4.56728,4.90004,1916.69,4.56728,4.67108,597.888,4.56728,5.13305,3258.86,4.56728,5.0618,2848.41,4.56728,3.63428,0,4.56728,4.15018,0,4.56728,4.75183,1063.01,4.56728,4.64771,463.296,4.56728,5.15229,3369.66,4.56728,4.80885,1391.46,4.56728,5.19802,3633.04,4.56728,5.2955,4194.54,4.56728,5.05957,2835.61,4.56728,4.7448,1022.55,4.56728,4.75183,1063.01,4.56728,4.75172,1062.36,4.56728,4.862,1697.59,4.56728,4.69133,714.508,4.56728,5.07501,2924.53,4.56728,4.99763,2478.82,4.56728,4.93347,2109.26,4.56728,5.1362,3276.98,4.56728,4.95178,2214.71,3.44999,4.19999,4320,5.40524,5.00112,0,4.50482,3.74016,0,4.50482,4.5791,427.837,5.51981,4.99419,0,3.28218,3.5904,1775.34,34.3187,32.9165,0,34.3187,32.6603,0,34.3187,32.3983,0,0.380337,0.452997,4359.6,0.380337,0.416184,2150.82,0.380337,0.457837,4650,
0.0707,7.50209,34.391,-5.3975,0.0097479,0.167959,0.0975117,20.8181,7.50209,34.391,-5.3975,0.0097479,0.167959,0.0975117,20.8181,4.41105,32.0961,-5.71626,-1.1479,-0.738151,-1.58054,1.00275,5.63921,34.4262,-4.06832,-0.319608,0.656212,2.05596,1.00275,7.06821,32.1516,-7.04338,-0.154908,0.643409,2.20841,1.00275,6.83982,31.9932,-4.01251,2.21443,0.446465,0.0207649,1.00275,5.42083,34.4815,-6.62126,2.06882,0.164725,-0.0911992,1.00275,7.50209,34.391,-5.3975,0.0097479,0.167959,0.0975117,20.8181,0.0898494,0.052926,0,0.0898494,0.0925854,164.16,0.0898494,0.0911823,79.9749,0.0898494,0.091073,73.4142,0.0898494,0.0999567,606.437,0.0898494,0.0972704,445.256,4.56728,4.84594,1605.08,4.56728,5.04734,2765.17,4.56728,4.8012,1347.38,4.56728,4.63476,388.675,4.56728,5.03426,2689.78,4.56728,5.02223,2620.52,4.56728,4.28798,0,4.56728,4.20995,0,4.56728,4.72465,906.472,4.56728,4.7223,892.896,4.56728,5.03268,2680.69,4.56728,4.85192,1639.55,4.56728,5.13824,3288.75,4.56728,5.17467,3498.57,4.56728,4.97951,2374.45,4.56728,4.78881,1276.04,4.56728,4.72465,906.472,4.56728,4.74048,997.628,4.56728,4.82805,1502.04,4.56728,4.70012,765.19,4.56728,4.92048,2034.42,4.56728,4.95857,2253.81,4.56728,4.90782,1961.53,4.56728,5.01136,2557.92,4.56728,4.90366,1937.53,3.44999,4.19999,4320,5.40524,4.70775,0,4.50482,3.80783,0,4.50482,4.45432,0,5.51981,4.68016,0,3.28218,3.64102,2066.92,34.3187,32.4897,0,34.3187,32.532,0,34.3187,32.0939,0,0.380337,0.442804,3748.06,0.380337,0.306709,0,0.380337,0.448708,4102.25,
0.0808,7.39417,34.0289,-5.45987,-0.00402048,0.224666,0.128494,20.8181,7.39417,34.0289,-5.45987,-0.00402048,0.224666,0.128494,20.8181,4.17836,31.9416,-5.63881,-1.06349,-0.717835,-1.57961,1.00275,5.38168,34.2381,-3.79248,-0.428301,0.696388,2.00514,1.00275,6.95295,31.9893,-7.12053,-0.0872747,0.631163,2.24374,1.00275,6.97946,31.7002,-3.72912,2.12476,0.331469,-0.0623176,1.00275,5.21999,34.2885,-6.73818,2.04159,0.20982,-0.0870491,1.00275,7.39417,34.0289,-5.45987,-0.00402048,0.224666,0.128494,20.8181,0.0898494,0.0920848,134.125,0.0898494,0.103262,804.731,0.0898494,0.0948076,297.494,0.0898494,0.0999075,603.484,0.0898494,0.0948952,302.75,0.0898494,0.0960536,372.254,4.56728,4.80796,1386.33,4.56728,4.83573,1546.27,4.56728,4.77733,1209.91,4.56728,4.64319,437.241,4.56728,4.96017,2263.03,4.56728,4.96148,2270.58,4.56728,5.0657,2870.88,4.56728,4.26688,0,4.56728,4.69392,729.477,4.56728,4.80008,1340.93,4.56728,4.88291,1818.01,4.56728,4.90968,1972.25,4.56728,5.03808,2711.81,4.56728,5.01409,2573.63,4.56728,4.90774,1961.07,4.56728,4.8319,1524.24,4.56728,4.69392,729.477,4.56728,4.75563,1084.89,4.56728,4.81688,1437.71,4.56728,4.75349,1072.57,4.56728,4.79017,1283.84,4.56728,4.89735,1901.18,4.56728,4.88111,1807.68,4.56728,4.8746,1770.16,4.56728,4.88323,1819.87,3.44999,4.19999,4320,5.40524,4.41499,0,4.50482,3.90196,0,4.50482,4.34235,0,5.51981,4.39489,0,3.28218,3.6774,2276.44,34.3187,32.0563,0,34.3187,32.3875,0,34.3187,31.8036,0,0.380337,0.430985,3038.91,0.380337,0.231827,0,0.380337,0.435238,3294.05,
0.0909,7.29261,33.665,-5.50977,-0.0207872,0.274022,0.152074,20.8181,7.29261,33.665,-5.50977,-0.0207872,0.274022,0.152074,20.8181,3.94247,31.7156,-5.51728,-0.993822,-0.696454,-1.57653,1.00275,5.16459,34.0384,-3.5308,-0.299069,0.673727,2.08236,1.00275,6.79038,31.7866,-7.1931,-0.107049,0.659823,2.21963,1.00275,7.02253,31.3301,-3.74968,2.11255,0.0954099,-0.0348143,1.00275,4.97552,34.0964,-6.8238,2.0376,0.206931,-0.0704891,1.00275,7.29261,33.665,-5.50977,-0.0207872,0.274022,0.152074,20.8181,0.0898494,0.091717,112.057,0.0898494,0.0986164,526.02,0.0898494,0.0945201,280.24,0.0898494,0.0972449,443.731,0.0898494,0.094351,270.093,0.0898494,0.0949678,307.105,4.56728,4.80581,1373.96,4.56728,4.64863,468.588,4.56728,4.83859,1562.74,4.56728,4.64037,420.996,4.56728,4.92619,2067.31,4.56728,4.92194,2042.87,4.56728,5.17256,3486.4,4.56728,4.37826,0,4.56728,4.69379,728.695,4.56728,4.91572,2007,4.56728,4.84871,1621.07,4.56728,4.97287,2336.19,4.56728,4.93393,2111.89,4.56728,4.88171,1811.14,4.56728,4.90662,1954.61,4.56728,4.87631,1780.01,4.56728,4.69379,728.695,4.56728,4.81634,1434.57,4.56728,4.81526,1428.37,4.56728,4.96601,2296.7,4.56728,4.80631,1376.8,4.56728,4.84654,1608.57,4.56728,4.89878,1909.42,4.56728,4.68547,680.791,4.56728,4.83982,1569.82,3.44999,4.19999,4320,5.40524,4.16914,0,4.50482,4.03981,0,4.50482,4.21557,0,5.51981,4.32133,0,3.28218,3.71056,2467.47,34.3187,31.6385,0,34.3187,32.1952,0,34.3187,31.5751,0,0.380337,0.400907,1234.2,0.380337,0.378399,0,0.380337,0.37997,0,
0.101,7.19647,33.3035,-5.55226,-0.0414185,0.318023,0.168551,20.8181,7.19647,33.3035,-5.55226,-0.0414185,0.318023,0.168551,20.8181,3.78166,31.4157,-5.36766,-0.897978,-0.661806,-1.61226,1.00275,5.05418,33.7797,-3.39715,-0.300786,0.768474,2.07866,1.00275,6.62269,31.602,-7.24175,0.13193,0.527262,2.31556,1.00275,7.0462,31.1359,-3.89329,2.10019,0.403042,0.00494829,1.00275,4.68526,33.9074,-6.83886,2.06937,0.0965644,-0.0337676,1.00275,7.19647,33.3035,-5.55226,-0.0414185,0.318023,0.168551,20.8181,0.0898494,0.121167,1879.08,0.0898494,0.0954407,335.477,0.0898494,0.103383,811.999,0.0898494,0.0933357,209.175,0.0898494,0.0919802,127.846,0.0898494,0.0918864,122.221,4.56728,4.85981,1684.99,4.56728,4.54465,0,4.56728,4.8549,1656.69,4.56728,4.63234,374.754,4.56728,4.98228,2390.38,4.56728,4.85781,1673.46,4.56728,5.14625,3334.87,4.56728,4.58788,118.64,4.56728,4.70025,765.922,4.56728,5.03416,2689.23,4.56728,4.68945,703.704,4.56728,5.02758,2651.33,4.56728,4.9272,2073.16,4.56728,4.77206,1179.51,4.56728,4.81934,1451.86,4.56728,4.92759,2075.38,4.56728,4.70025,765.922,4.56728,4.88427,1825.85,4.56728,4.87008,1744.13,4.56728,5.08401,2976.35,4.56728,4.77723,1209.33,4.56728,4.85071,1632.56,4.56728,4.94252,2161.39,4.56728,4.51783,0,4.56728,4.83123,1520.36,3.44999,4.19999,4320,5.40524,4.00757,0,4.50482,4.23082,0,4.50482,4.06106,0,5.51981,4.12207,0,3.28218,3.77096,2815.38,34.3187,31.2401,0,34.3187,32.0038,0,34.3187,31.4571,0,0.380337,0.399636,1157.98,0.380337,0.406891,1593.26,0.380337,0.399397,1143.6,
0.1111,7.10126,32.9536,-5.59344,-0.0627381,0.357667,0.181712,20.8181,7.10126,32.9536,-5.59344,-0.0627381,0.357667,0.181712,20.8181,3.7947,31.1981,-5.21953,-0.936388,-0.606259,-1.56654,1.00275,5.06307,33.4609,-3.35287,-0.296125,0.877319,2.06437,1.00275,6.44169,31.4621,-7.22719,-0.00591363,0.671757,2.19214,1.00275,7.04669,31.1086,-4.09554,2.09914,0.232188,0.0546485,1.00275,4.41841,33.6539,-6.76865,2.1011,0.0788234,0.0183775,1.00275,7.10126,32.9536,-5.59344,-0.0627381,0.357667,0.181712,20.8181,0.0898494,0.125805,2157.34,0.0898494,0.105125,916.52,0.0898494,0.0960721,373.36,0.0898494,0.0921864,140.218,0.0898494,0.0912736,85.4501,0.0898494,0.0929681,187.12,4.56728,4.92682,2070.94,4.56728,4.46667,0,4.56728,4.81709,1438.9,4.56728,4.65352,496.723,4.56728,5.0652,2868.03,4.56728,4.78363,1246.21,4.56728,5.09163,3020.28,4.56728,4.75746,1095.42,4.56728,4.70559,796.646,4.56728,5.1239,3206.16,4.56728,4.39673,0,4.56728,5.08056,2956.47,4.56728,4.96456,2288.32,4.56728,4.55661,0,4.56728,4.81465,1424.84,4.56728,5.02562,2640.03,4.56728,4.70559,796.646,4.56728,4.92714,2072.8,4.56728,4.88959,1856.53,4.56728,5.10587,3102.27,4.56728,4.74453,1020.99,4.56728,4.83218,1525.82,4.56728,5.01321,2568.58,4.56728,4.39838,0,4.56728,4.8696,1741.34,3.44999,4.19999,4320,5.40524,3.78373,0,4.50482,4.33308,0,4.50482,3.91466,0,5.51981,3.82382,0,3.28218,3.81187,3051.01,34.3187,30.8568,0,34.3187,31.7177,0,34.3187,31.2964,0,0.380337,0.401462,1267.5,0.380337,0.409242,1734.29,0.380337,0.39155,672.78,
